Target gene,Representative transcript,Gene name,3P-seq tags + 5,Conserved sites total,Conserved 8mer sites,Conserved 7mer-m8 sites,Conserved 7mer-A1 sites,Poorly conserved sites total,Poorly conserved 8mer sites,Poorly conserved 7mer-m8 sites,Poorly conserved 7mer-A1 sites,6mer sites,Representative miRNA,Predicted occupancy (low miRNA),Predicted occupancy (high miRNA),Predicted occupancy (transfected miRNA),Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
STC2,ENST00000265087.4,stanniocalcin 2 ,1112,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0131,0.0888,0.4115,-0.29,-0.31,0.63,"2009, 2011
"
ERC2,ENST00000288221.6,ELKS/RAB6-interacting/CAST family member 2 ,11,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0094,0.0654,0.3423,-0.29,-0.29,0.39,"2007, 2011
"
STRADB,ENST00000392249.2,STE20-related kinase adaptor beta ,12,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0069,0.049,0.2788,-0.29,-0.29,0.46,"2007, 2009, 2011
"
FBN1,ENST00000316623.5,fibrillin 1 ,798,1,0,1,0,1,1,0,0,0,hsa-miR-140-5p,0.0093,0.0658,0.3775,-0.29,-0.41,0.63,"2007, 2009, 2011
"
PHACTR2,ENST00000427704.2,phosphatase and actin regulator 2 ,274,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.0148,0.1063,0.6702,-0.29,-0.34,0.65,"2009, 2011
"
MTSS1,ENST00000378017.3,metastasis suppressor 1 ,10,1,1,0,0,1,0,0,1,0,hsa-miR-140-5p,0.0058,0.0414,0.2401,-0.29,-0.62,0.32,"NULL
"
LMNB1,ENST00000261366.5,lamin B1 ,369,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0149,0.1002,0.4399,-0.29,-0.31,0.45,2007
CELF1,ENST00000395290.2,"CUGBP, Elav-like family member 1 ",153,1,0,1,0,1,0,1,0,1,hsa-miR-140-5p,0.0181,0.1277,0.7198,-0.29,-0.34,0.64,"2007, 2009, 2011
"
PTP4A3,ENST00000520105.1,"protein tyrosine phosphatase type IVA, member 3 ",65,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0117,0.0806,0.4032,-0.29,-0.29,0.57,"2009, 2011
"
POGK,ENST00000367875.1,pogo transposable element with KRAB domain ,377,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.0091,0.0648,0.3925,-0.29,-0.32,0.51,"NULL
"
TAF9B,ENST00000341864.5,"TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa ",19,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0192,0.1266,0.5172,-0.29,-0.29,0.5,"2007, 2009, 2011
"
RIC8B,ENST00000392837.4,RIC8 guanine nucleotide exchange factor B ,49,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0071,0.0504,0.2956,-0.28,-0.28,0.54,"2009, 2011
"
MNS1,ENST00000260453.3,meiosis-specific nuclear structural 1 ,14,1,0,0,1,0,0,0,0,0,hsa-miR-140-5p,0.004,0.0286,0.1786,-0.28,-0.28,0.56,"2009, 2011
"
FUT1,ENST00000310160.3,"fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group) ",17,1,1,0,0,1,0,1,0,0,hsa-miR-140-5p,0.0083,0.0594,0.368,-0.28,-0.28,0.22,"NULL
"
RAD51L3-RFFL,ENST00000593039.1,Uncharacterized protein  ,670,1,1,0,0,1,0,1,0,1,hsa-miR-140-5p,0.008,0.0558,0.2953,-0.28,-0.56,0.7,"NULL
"
TSC22D2,ENST00000361875.3,"TSC22 domain family, member 2 ",1062,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0079,0.056,0.3193,-0.28,-0.28,0.65,"2007, 2009, 2011
"
HDAC7,ENST00000380610.4,histone deacetylase 7 ,56,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0107,0.0754,0.4149,-0.28,-0.31,0.67,"2007, 2009, 2011
"
OGT,ENST00000373719.3,O-linked N-acetylglucosamine (GlcNAc) transferase ,1036,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0082,0.0573,0.3114,-0.28,-0.31,0.6,"2009, 2011
"
ZBTB7A,ENST00000322357.4,zinc finger and BTB domain containing 7A ,37,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0105,0.0723,0.3561,-0.28,-0.42,0.69,"NULL
"
HSPA4L,ENST00000296464.4,heat shock 70kDa protein 4-like ,348,1,0,1,0,3,0,2,1,1,hsa-miR-140-5p,0.0074,0.0534,0.342,-0.28,-0.42,0.5,"NULL
"
ADAM9,ENST00000487273.2,ADAM metallopeptidase domain 9 ,6435,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0087,0.0609,0.3323,-0.28,-0.28,0.53,"2009, 2011
"
HIAT1,ENST00000370152.3,hippocampus abundant transcript 1 ,1473,1,0,0,1,0,0,0,0,0,hsa-miR-140-5p,0.012,0.0848,0.4834,-0.28,-0.28,0.54,2011
EIF2AK2,ENST00000233057.4,eukaryotic translation initiation factor 2-alpha kinase 2 ,292,1,1,0,0,2,0,2,0,1,hsa-miR-140-5p,0.011,0.0789,0.4829,-0.28,-0.45,0.21,"NULL
"
YES1,ENST00000577961.1,v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1 ,168,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0066,0.0471,0.2761,-0.28,-0.28,0.59,"2007, 2009, 2011
"
PGP,ENST00000333503.7,phosphoglycolate phosphatase ,153,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0077,0.0545,0.3089,-0.28,-0.28,0.52,"2009, 2011
"
SLC6A6,ENST00000454876.2,"solute carrier family 6 (neurotransmitter transporter), member 6 ",280,1,0,1,0,1,0,1,0,2,hsa-miR-140-5p,0.0177,0.1258,0.7439,-0.27,-0.29,0.57,"2007, 2009, 2011
"
SLC30A5,ENST00000396591.3,"solute carrier family 30 (zinc transporter), member 5 ",677,2,0,2,0,0,0,0,0,2,hsa-miR-140-5p,0.0076,0.0541,0.3125,-0.27,-0.51,0.85,"2007, 2011
"
UBR5,ENST00000520539.1,ubiquitin protein ligase E3 component n-recognin 5 ,733,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.009,0.063,0.3357,-0.27,-0.3,0.49,2011
SPRED1,ENST00000299084.4,"sprouty-related, EVH1 domain containing 1 ",547,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0101,0.0708,0.3752,-0.27,-0.27,0.63,"2007, 2009, 2011
"
JAG1,ENST00000254958.5,jagged 1 ,421,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0095,0.0664,0.364,-0.27,-0.34,0.55,"2007, 2009, 2011
"
CCNYL1,ENST00000295414.3,cyclin Y-like 1 ,111,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0076,0.0536,0.297,-0.27,-0.27,0.55,"2007, 2011
"
KBTBD2,ENST00000304056.4,kelch repeat and BTB (POZ) domain containing 2 ,2559,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0049,0.0354,0.2136,-0.27,-0.28,0.73,"2007, 2009, 2011
"
PARD6B,ENST00000371610.2,par-6 family cell polarity regulator beta ,277,1,0,0,1,1,0,1,0,0,hsa-miR-140-5p,0.0087,0.0625,0.3806,-0.27,-0.27,0.39,"2009, 2011
"
GUCD1,ENST00000447813.2,guanylyl cyclase domain containing 1 ,2990,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0032,0.0237,0.1617,-0.27,-0.27,0.21,"2009, 2011
"
FAM102A,ENST00000373095.1,"family with sequence similarity 102, member A ",85,1,1,0,0,0,0,0,0,2,hsa-miR-140-5p,0.0077,0.055,0.327,-0.27,-0.27,0.72,"2009, 2011
"
LAMC1,ENST00000258341.4,"laminin, gamma 1 (formerly LAMB2) ",1082,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0115,0.079,0.3972,-0.26,-0.36,0.54,"2009, 2011
"
DPP10,ENST00000410059.1,dipeptidyl-peptidase 10 (non-functional) ,5,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.011,0.0789,0.4839,-0.26,-0.26,0.32,2007
CALU,ENST00000535011.2,calumenin ,3079,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.007,0.0495,0.2853,-0.26,-0.29,0.57,"2007, 2009, 2011
"
RFFL,ENST00000315249.7,ring finger and FYVE-like domain containing E3 ubiquitin protein ligase ,670,1,1,0,0,1,0,1,0,1,hsa-miR-140-5p,0.0081,0.0565,0.2988,-0.26,-0.5,0.7,"2009, 2011
"
MICAL3,ENST00000441493.2,"microtubule associated monooxygenase, calponin and LIM domain containing 3 ",58,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0119,0.0834,0.4489,-0.26,-0.27,0.59,"2009, 2011
"
SMARCC2,ENST00000394023.3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2 ",298,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0078,0.056,0.3426,-0.26,-0.27,0.53,"NULL
"
LSM14B,ENST00000253001.4,"LSM14B, SCD6 homolog B (S. cerevisiae) ",700,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0052,0.0369,0.2207,-0.26,-0.26,0.57,"2007, 2009, 2011
"
C6orf47,ENST00000375911.1,chromosome 6 open reading frame 47 ,38,1,0,0,1,0,0,0,0,0,hsa-miR-140-5p,0.0055,0.0392,0.2297,-0.26,-0.32,0.46,2011
TRMT61B,ENST00000306108.5,tRNA methyltransferase 61 homolog B (S. cerevisiae) ,450,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0041,0.0297,0.1863,-0.26,-0.26,< 0.1,"NULL
"
RALA,ENST00000005257.2,v-ral simian leukemia viral oncogene homolog A (ras related) ,21,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0046,0.0327,0.203,-0.26,-0.55,0.69,"2007, 2009, 2011
"
ROR1,ENST00000371079.1,receptor tyrosine kinase-like orphan receptor 1 ,80,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0098,0.0692,0.3796,-0.26,-0.26,0.63,"NULL
"
RAB11A,ENST00000569896.1,"RAB11A, member RAS oncogene family ",5781,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0034,0.0246,0.1582,-0.26,-0.29,< 0.1,"NULL
"
PPP1CC,ENST00000335007.5,"protein phosphatase 1, catalytic subunit, gamma isozyme ",3739,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0142,0.0962,0.4494,-0.26,-0.26,0.54,"2007, 2009, 2011
"
TEAD1,ENST00000361905.4,TEA domain family member 1 (SV40 transcriptional enhancer factor) ,740,1,0,1,0,2,0,1,1,0,hsa-miR-140-5p,0.0186,0.1299,0.7,-0.26,-0.26,0.48,"2007, 2009, 2011
"
MYO10,ENST00000513610.1,myosin X ,3866,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0098,0.0695,0.4092,-0.26,-0.26,0.59,"2007, 2009, 2011
"
TPGS2,ENST00000334295.4,tubulin polyglutamylase complex subunit 2 ,508,1,0,1,0,1,0,1,0,2,hsa-miR-140-5p,0.0124,0.0872,0.4863,-0.25,-0.43,0.49,2011
LCOR,ENST00000371103.3,ligand dependent nuclear receptor corepressor ,94,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0145,0.102,0.5601,-0.25,-0.42,0.71,2011
RABIF,ENST00000367262.3,RAB interacting factor ,948,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.005,0.0354,0.1924,-0.25,-0.58,0.31,"NULL
"
HEG1,ENST00000311127.4,heart development protein with EGF-like domains 1 ,380,1,0,1,0,1,0,0,1,3,hsa-miR-140-5p,0.013,0.094,0.615,-0.25,-0.25,0.48,"NULL
"
ANO6,ENST00000320560.8,anoctamin 6 ,2262,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0089,0.0623,0.3428,-0.25,-0.26,0.71,"2009, 2011
"
AKAP2,ENST00000374525.1,A kinase (PRKA) anchor protein 2 ,1287,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0104,0.0725,0.3738,-0.25,-0.25,0.62,2011
SHROOM3,ENST00000296043.6,shroom family member 3 ,2841,1,0,1,0,2,0,1,1,0,hsa-miR-140-5p,0.0126,0.091,0.5649,-0.25,-0.25,0.67,"2007, 2009, 2011
"
WEE1,ENST00000299613.6,WEE1 homolog (S. pombe) ,331,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.012,0.0829,0.4107,-0.25,-0.25,0.65,"NULL
"
DOK4,ENST00000566936.1,docking protein 4 ,183,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0043,0.03,0.1655,-0.25,-0.47,0.35,"2007, 2009, 2011
"
B3GNT1,ENST00000311181.4,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1 ",2688,1,0,0,1,0,0,0,0,0,hsa-miR-140-5p,0.0025,0.0184,0.1219,-0.25,-0.25,0.41,"2007, 2011
"
MYCBP2,ENST00000544440.2,"MYC binding protein 2, E3 ubiquitin protein ligase ",343,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0153,0.1058,0.5415,-0.25,-0.26,0.64,"NULL
"
KLK10,ENST00000309958.3,kallikrein-related peptidase 10 ,5,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0052,0.0376,0.226,-0.25,-0.25,0.47,"2007, 2009, 2011
"
TGFBR1,ENST00000374994.4,"transforming growth factor, beta receptor 1 ",249,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0084,0.0602,0.3726,-0.25,-0.25,0.63,"2007, 2009, 2011
"
PALM2-AKAP2,ENST00000374530.3,PALM2-AKAP2 readthrough ,1287,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0104,0.0725,0.3738,-0.24,-0.25,0.62,"2009, 2009, 2011
"
RASSF2,ENST00000379400.3,Ras association (RalGDS/AF-6) domain family member 2 ,88,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.008,0.0567,0.3216,-0.24,-0.25,0.31,"NULL
"
FXR1,ENST00000357559.4,"fragile X mental retardation, autosomal homolog 1 ",434,1,0,1,0,1,0,1,0,3,hsa-miR-140-5p,0.0097,0.0694,0.4269,-0.24,-0.46,0.66,"2009, 2011
"
MIER3,ENST00000381226.3,"mesoderm induction early response 1, family member 3 ",112,1,0,0,1,0,0,0,0,1,hsa-miR-140-5p,0.0069,0.0493,0.3029,-0.24,-0.25,0.48,"2007, 2009, 2011
"
WDFY3,ENST00000322366.6,WD repeat and FYVE domain containing 3 ,596,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0137,0.0947,0.4877,-0.24,-0.24,0.63,"2009, 2011
"
SYS1,ENST00000243918.5,SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae) ,384,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0043,0.0307,0.1862,-0.24,-0.28,0.46,"2007, 2009, 2011
"
PAX9,ENST00000361487.6,paired box 9 ,53,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.014,0.0946,0.4259,-0.24,-0.28,0.53,"2009, 2011
"
MOB3A,ENST00000357066.3,MOB kinase activator 3A ,13,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0052,0.0377,0.2372,-0.24,-0.24,0.44,"2009, 2011
"
TMOD2,ENST00000249700.4,tropomodulin 2 (neuronal) ,117,1,0,1,0,0,0,0,0,2,hsa-miR-140-5p,0.0102,0.074,0.492,-0.24,-0.24,0.48,"NULL
"
TMEM180,ENST00000238936.4,transmembrane protein 180 ,50,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.0045,0.0323,0.2082,-0.24,-0.25,0.67,"NULL
"
WBP1L,ENST00000369889.4,WW domain binding protein 1-like ,5,1,0,1,0,1,0,1,0,1,hsa-miR-140-5p,0.0101,0.073,0.4688,-0.24,-0.24,0.58,"2009, 2011
"
DNAJB4,ENST00000370763.5,"DnaJ (Hsp40) homolog, subfamily B, member 4 ",633,1,0,0,1,1,0,1,0,1,hsa-miR-140-5p,0.0035,0.0256,0.162,-0.24,-0.26,0.44,"NULL
"
PPARGC1A,ENST00000264867.2,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha ",19,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0077,0.0554,0.3475,-0.23,-0.23,0.5,2007
SLC2A1,ENST00000426263.3,"solute carrier family 2 (facilitated glucose transporter), member 1 ",13928,1,0,1,0,2,1,1,0,0,hsa-miR-140-5p,0.0051,0.0369,0.2209,-0.23,-0.56,0.49,"2007, 2009, 2011
"
GPR85,ENST00000297146.3,G protein-coupled receptor 85 ,21,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.009,0.0649,0.413,-0.23,-0.23,0.48,"2007, 2009, 2011
"
CERCAM,ENST00000372842.1,cerebral endothelial cell adhesion molecule ,184,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0065,0.0467,0.2976,-0.23,-0.23,0.59,"2009, 2011
"
DPYSL2,ENST00000311151.5,dihydropyrimidinase-like 2 ,3087,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0061,0.0439,0.2735,-0.23,-0.24,0.54,"2007, 2009, 2011
"
AFTPH,ENST00000238856.4,aftiphilin ,6,1,0,0,1,0,0,0,0,0,hsa-miR-140-5p,0.0049,0.0354,0.2289,-0.23,-0.23,0.42,"2007, 2009, 2011
"
RAP1B,ENST00000250559.9,"RAP1B, member of RAS oncogene family ",3599,1,0,0,1,0,0,0,0,0,hsa-miR-140-5p,0.0023,0.0166,0.1109,-0.22,-0.22,0.47,"2007, 2009, 2011
"
FOXP2,ENST00000408937.3,forkhead box P2 ,169,2,0,1,1,0,0,0,0,0,hsa-miR-140-5p,0.0083,0.0593,0.3513,-0.22,-0.36,0.74,"2007, 2009, 2011
"
AKIRIN2,ENST00000257787.5,akirin 2 ,477,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0015,0.0108,0.0749,-0.22,-0.22,0.56,"2007, 2009, 2011
"
YWHAG,ENST00000307630.3,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide ",5623,1,0,0,1,0,0,0,0,0,hsa-miR-140-5p,0.0054,0.0389,0.2382,-0.22,-0.22,0.39,2007
FKBP4,ENST00000001008.4,"FK506 binding protein 4, 59kDa ",727,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0076,0.0534,0.2975,-0.21,-0.21,0.58,2011
AP2B1,ENST00000262325.7,"adaptor-related protein complex 2, beta 1 subunit ",353,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0115,0.0799,0.4224,-0.21,-0.21,0.62,"2009, 2011
"
TMEM98,ENST00000579849.1,transmembrane protein 98 ,98,1,0,0,1,0,0,0,0,0,hsa-miR-140-5p,0.003,0.0215,0.1385,-0.21,-0.23,0.38,"2009, 2011
"
SNX27,ENST00000368843.3,sorting nexin family member 27 ,46,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0059,0.0427,0.2741,-0.21,-0.21,0.64,"2007, 2009, 2011
"
VCPIP1,ENST00000310421.4,valosin containing protein (p97)/p47 complex interacting protein 1 ,228,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0078,0.0551,0.3031,-0.21,-0.27,0.45,"2007, 2009, 2011
"
GLI3,ENST00000395925.3,GLI family zinc finger 3 ,544,1,0,1,0,0,0,0,0,2,hsa-miR-140-5p,0.014,0.1002,0.6055,-0.21,-0.22,0.64,"2009, 2011
"
SOX4,ENST00000244745.1,SRY (sex determining region Y)-box 4 ,2736,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0146,0.0993,0.4664,-0.21,-0.21,0.62,"2007, 2009, 2011
"
MED13,ENST00000397786.2,mediator complex subunit 13 ,561,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0119,0.0823,0.4306,-0.21,-0.34,0.53,"2007, 2009, 2011
"
UST,ENST00000367463.4,uronyl-2-sulfotransferase ,933,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0084,0.06,0.3568,-0.21,-0.22,0.49,"NULL
"
PDE7A,ENST00000401827.3,phosphodiesterase 7A ,84,1,0,1,0,0,0,0,0,2,hsa-miR-140-5p,0.0056,0.0402,0.2573,-0.21,-0.22,0.66,"NULL
"
UBXN7,ENST00000296328.4,UBX domain protein 7 ,95,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0056,0.0402,0.2516,-0.21,-0.27,0.38,2011
SLC39A9,ENST00000031146.4,"solute carrier family 39, member 9 ",824,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0065,0.046,0.266,-0.21,-0.23,0.5,"2009, 2011
"
TBC1D12,ENST00000225235.4,"TBC1 domain family, member 12 ",172,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.0091,0.0635,0.3373,-0.21,-0.35,0.64,2009
OSTM1,ENST00000193322.3,osteopetrosis associated transmembrane protein 1 ,63,1,0,1,0,1*,0,0,0,1,hsa-miR-140-5p,0.0128,0.088,0.4312,-0.2,-0.23,0.55,"2007, 2009, 2011
"
TMEM168,ENST00000312814.6,transmembrane protein 168 ,195,1,0,0,1,1,1,0,0,0,hsa-miR-140-5p,0.0046,0.0328,0.2026,-0.2,-0.44,0.51,"NULL
"
IGFBP5,ENST00000233813.4,insulin-like growth factor binding protein 5 ,10709,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0083,0.0554,0.2407,-0.2,-0.47,0.78,"2007, 2009, 2011
"
RNF169,ENST00000299563.4,ring finger protein 169 ,204,1,1,0,0,0,0,0,0,1,hsa-miR-140-5p,0.0111,0.0778,0.416,-0.2,-0.23,0.45,"2009, 2011
"
NFYA,ENST00000341376.6,"nuclear transcription factor Y, alpha ",177,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0036,0.0266,0.1766,-0.2,-0.2,0.57,"2009, 2011
"
PABPC1L2B,ENST00000373521.2,"poly(A) binding protein, cytoplasmic 1-like 2B ",5,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0035,0.0256,0.1642,-0.2,-0.2,0.45,2011
LMAN1,ENST00000251047.5,"lectin, mannose-binding, 1 ",2293,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0053,0.0383,0.2471,-0.2,-0.24,0.24,"NULL
"
PDGFRA,ENST00000257290.5,"platelet-derived growth factor receptor, alpha polypeptide ",39,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0109,0.0773,0.4456,-0.2,-0.2,0.63,2011
PABPC1L2A,ENST00000373519.1,"poly(A) binding protein, cytoplasmic 1-like 2A ",5,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0035,0.0255,0.1636,-0.2,-0.2,0.44,"NULL
"
BAZ2B,ENST00000392782.1,"bromodomain adjacent to zinc finger domain, 2B ",25,1,0,1,0,1,0,1,0,1,hsa-miR-140-5p,0.0129,0.089,0.445,-0.2,-0.32,0.68,2011
RFX7,ENST00000423270.1,"regulatory factor X, 7 ",1049,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0051,0.0368,0.224,-0.2,-0.2,0.58,"2007, 2009, 2011
"
PLD2,ENST00000263088.6,phospholipase D2 ,57,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0047,0.0338,0.2055,-0.2,-0.2,0.49,"NULL
"
DNM3,ENST00000367731.1,dynamin 3 ,59,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.0115,0.0816,0.4771,-0.2,-0.2,0.54,"2007, 2009, 2011
"
PTBP3,ENST00000374257.1,polypyrimidine tract binding protein 3 ,214,1,0,0,1,0,0,0,0,1,hsa-miR-140-5p,0.004,0.0292,0.189,-0.19,-0.21,0.38,"2007, 2009, 2011
"
TMEM50A,ENST00000374358.4,transmembrane protein 50A ,228,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0038,0.0271,0.1719,-0.19,-0.36,0.31,"2009, 2011
"
FLRT2,ENST00000330753.4,fibronectin leucine rich transmembrane protein 2 ,73,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.0074,0.0526,0.3103,-0.19,-0.23,0.57,"2009, 2011
"
SULF1,ENST00000458141.2,sulfatase 1 ,11,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0128,0.0884,0.45,-0.19,-0.19,0.52,"2007, 2009, 2011
"
NCS1,ENST00000372398.3,neuronal calcium sensor 1 ,1083,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0019,0.0139,0.0964,-0.19,-0.19,0.48,"2007, 2009, 2011
"
NAALADL2,ENST00000454872.1,N-acetylated alpha-linked acidic dipeptidase-like 2 ,5,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0068,0.048,0.2712,-0.19,-0.19,0.45,"2009, 2011
"
HSPA13,ENST00000285667.3,"heat shock protein 70kDa family, member 13 ",2175,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0084,0.0592,0.3187,-0.19,-0.21,0.61,"2007, 2009, 2011
"
PPP1R12A,ENST00000261207.5,"protein phosphatase 1, regulatory subunit 12A ",276,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0146,0.1011,0.5189,-0.19,-0.19,0.54,"2009, 2011
"
ANKRD52,ENST00000267116.7,ankyrin repeat domain 52 ,2913,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0174,0.1182,0.5633,-0.18,-0.18,0.53,"2009, 2011
"
ST5,ENST00000526757.1,suppression of tumorigenicity 5 ,139,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.0116,0.0799,0.3917,-0.18,-0.27,0.66,"2007, 2009, 2011
"
CDK8,ENST00000536792.1,cyclin-dependent kinase 8 ,280,1,0,0,1,0,0,0,0,1,hsa-miR-140-5p,0.002,0.0145,0.1044,-0.18,-0.18,< 0.1,"NULL
"
PROX2,ENST00000556084.2,prospero homeobox 2 ,5,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0078,0.0546,0.2991,-0.18,-0.18,0.52,"NULL
"
SLMAP,ENST00000295951.3,sarcolemma associated protein ,208,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0111,0.0765,0.3799,-0.18,-0.21,0.44,2007
ZDHHC20,ENST00000320220.9,"zinc finger, DHHC-type containing 20 ",1486,1,0,1,0,1,0,1,0,0,hsa-miR-140-5p,0.005,0.0361,0.2333,-0.18,-0.34,< 0.1,"NULL
"
STOX2,ENST00000308497.4,storkhead box 2 ,379,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0117,0.0817,0.4317,-0.18,-0.18,0.49,"NULL
"
JMJD7-PLA2G4B,ENST00000342159.4,JMJD7-PLA2G4B readthrough ,14,1,0,0,1,0,0,0,0,0,hsa-miR-140-5p,0.0024,0.0173,0.122,-0.18,-0.18,< 0.1,"NULL
"
NCOA1,ENST00000405141.1,nuclear receptor coactivator 1 ,200,1,0,1,0,0,0,0,0,0,hsa-miR-140-5p,0.0034,0.0244,0.1608,-0.18,-0.18,< 0.1,"NULL
"
TRIO,ENST00000344204.4,trio Rho guanine nucleotide exchange factor ,365,1,0,1,0,0,0,0,0,1,hsa-miR-140-5p,0.0101,0.0726,0.4547,-0.18,-0.18,0.47,"NULL
"
SP4,ENST00000222584.3,Sp4 transcription factor ,131,1,0,0,1,0,0,0,0,1,hsa-miR-140-5p,0.0091,0.0664,0.4377,-0.18,-0.18,0.37,"NULL
"
